Τίτλος του δίσκου;Τίτλος τραγουδιού;Συνθέτης;Στιχουργός;Τραγουδιστής;ΕΤΑΙΡΕΙΑ;Ετος κυκλοφ.;Στίχοι;Εκτέλεση;Χρόνος
Μίλα μου για τη λευτεριά;Οι τελευταίες μέρες;Πλέσσας Μίμης;Παπαδόπουλος Λευτέρης;Πουλόπουλος Γιάννης;LYRA ( EL );1974-10-01;"Στρώσε τα τραπέζια 
φέρε τα κρασιά
κέρνα και τον χάρο ένα ποτήρι
μοίρασε τουφέκια
σ όλα τα νησιά
θα 'χουμε απόψε πανηγύρι

Κι έλα να χορέψουμε
για την ζωή και τη θανή
ρίξε ένα ζεϊμπέκικο 
Ακρίτα Διγενή

Να κι ο Οδυσσέας με τον Μανωλιό 
κι όλη η παλιά μας η παρέα
τώρα θ' ανεβούνε στο καμπαναριό
για να ξεσηκώσουν τον Περαία

Ήρθαν τα μαντάτα
βράδυ στις εννιά
στέλνει κι ο Κανάρης μια φρεγάδα
άιντε μπρος αδέρφια
κάνουμε πανιά
με καραβοκύρη την Ελλάδα

Κι έλα να χορέψουμε
για την ζωή και τη θανή
ρίξε ένα ζεϊμπέκικο 
Ακρίτα Διγενή";1;1974
Μια ζωή;Ο Ελληνας;Κανάκη Νίντα;Παπαδόπουλος Χρήστος;Κανάκη Νίντα;CRONOS MUSIC;2011-12-06;"Ήρθανε μες στην Ελλάδα
να μας κόψουν τα φτερά
να μας βάλουνε σε τάξη
να καθίσουμε καλά.

Ο Έλληνας, ό Έλληνας
ποτέ δεν γονατίζει
είναι περήφανος λαός
και νικητής γυρίζει.

Ήρθανε μες στην Ελλάδα
να μας φοβερίσουνε
τι τα κάναμε τα φράγκα
να μας τιμωρήσουνε.

Ο Έλληνας, ό Έλληνας
ποτέ δεν γονατίζει
είναι περήφανος λαός
και νικητής γυρίζει.

Ελλαδίτσα μας κουράγιο
και δεν θα σ' αφήσουμε
θα πιαστούμε χέρι χέρι
και θα σ' αναστήσουμε.

Ο Έλληνας, ό Έλληνας
ποτέ δεν γονατίζει
είναι περήφανος λαός
και νικητής γυρίζει.";1;2011
Vendetta;Καλημέρα Ελλάδα;Παπαθανασίου Μιχάλης & Nivo ( Βουρλιώτης Νίκος ) & Σερίφης Βαγγέλης;Παπαθανασίου Μιχάλης & Nivo ( Βουρλιώτης Νίκος ) & Σερίφης Βαγγέλης;GOIN' THROUGH;DEF JAM RECORDINGS;2006-06-01;"Καλημέρα Ελλάδα σου μιλάει ο Nivo
Όλα σου τα λέω τίποτα δεν κρύβω
Πολύ με υποτίμησες εγώ μονάχα λίγο
Σκέφτηκα Ελλάδα να σε αφήσω να φύγω
Δεν το βάλα κάτω και προσπάθησα κι άλλο
Να ανεβάσω σαν και εσένα πιο πολύ τον καβάλο
Να πετάξω καπέλα και το ράπ ντύσιμο μου
Και να αλλάξω την ζωή και το φέρσιμό μου

Καλημέρα Ελλάδα να μου ζήσεις για πάντα
Να τιμάς με παρελάσεις το έπος του '40
Να κρατάς το κεφάλι ψηλά στον αγώνα
Και να βγάζεις για κυβέρνηση το ίδιο κόμμα
Να μου ζήσεις Ελλάδα και όλοι οι βουλευτές σου
Με τα αυθαίρετα τους σώνεις στις ακρογιαλιές σου
Με τους χρίστιανούς σου που κάνουν νηστεία
Και ό, τι περισσεύει στέλνουν στην Ελβετία

Ελλάδα συγνώμη αν θες να αλλάξω γνώμη
Πρέπει και εσύ να μάθεις να αγαπάς
Παψε να με παιδεύεις
Και να με κοροιδεύεις
Και τα όνειρά μου Ελλάδα μην σκορπάς

Καλημέρα Ελλάδα Nivo στο μικρόφωνο
Στα λέω μέσα στους δίσκους στα λέω και στο ραδιόφωνο
Στα πα από την καλή στα λέω και από την ανάποδη
Σου έχω μαζέψει άπλυτα από εδώ μέχρι την Νάπολη
Κύριοι Υπουργοί Κύριοι Βουλευταί
Πριν πάτε στο γραφείο σαν κάνω εγώ σεφτέ
Διαλέγω ένα τραγούδι αντί να στέλνω γράμματα
Δεν ψάχνω για μαλάκες
Δεν περιμένω θαύματα
Παράτα και για γραφείο και χαρτοφυλάκιο
Έλατε μία βόλτα μέχρι την Βαρβάκειο
Κατέβα στο λιμάνι μιλά στους εργάτες σου
Πάρε την ευθύνη μία φορά πάνω στις πλάτες σου
Ποια δημοκρατία μου μιλάτε ποια προγράμματα
Ποια πανεπιστήμια ποια Ευρώπη και ποια γράμματα
Πού είναι η παιδεία, πού είναι η υγεία σας
Κύριε Υπουργέ γαμώ τα υπουργεία σας

Ελλάδα συγνώμη αν θες να αλλάξω γνώμη
Πρέπει και εσύ να μάθεις να αγαπάς
Παψε να με παιδεύεις και να με κοροιδεύεις
Και τα όνειρα μου Ελλάδα μην σκορπάς

Κύριε Πρόεδρε
Παίρνω το θάρρος σήμερα
Αφού όλα τα προβλήματα είναι θέματα ευήμερα
Προκαταβολικά συγνώμη να έχω όνειρα
Σαν αυτά που κάποιοι ονομάζανε ανώνυμα
Εγώ τους δίνω όνομα και δεν κάθομαι φρόνιμα
Γιατί εγώ και εσύ διαφέρουμε στο φρόνιμα
Ζητάω τα προβλεπόμενα δεν τα ζητιανεύω
Σε αντίθεση με εσάς έχω μάθει να δουλεύω
Ελλάδα σε βιάζουν και εσύ φτιάχνεις τα νύχια σου
Όχι να μη 'δεις όχι για να βρεις τα δίκια σου
Αυτοί σε ξεπουλάνε όση ώρα καλλοπίζεσαι
Είστε μια παρέα και μονάχοι ξεφτιλείζεσαι
Καληνύχτα Ελλάδα σε αφήνω πάω για ύπνο
Όσο εσύ με αυτούς ετοιμάζεσαι για δείπνο
Εγώ θα κάνω στίχους κάθε σκέψης στο τετράδιο
Και θα στο αφιερώσω από το ράδιο μάλλον αύριο

Ελλάδα συγνώμη αν θες να αλλάξω γνώμη
Πρέπει και εσύ να μάθεις να αγαπάς
Πάψε να με παιδεύεις
Και να με κοροιδεύεις
Και τα όνειρα μου Ελλάδα μην σκορπάς";1;2006
Λείπει πάλι ο Θεός;Καλώς σας βρήκα;Mark F. Angelo;Παπαθεοχάρη Νίκη;Μαζωνάκης Γιώργος;HEAVEN MUSIC;2012-01-01;"Καλώς σας βρήκα φίλοι
και έχω κάποια νέα
θα πρέπει πιο συχνά
να κάνουμε παρέα
Πήρα ένα γέλιο που έχω
ανάσκελα γυρίσει
και το προσέχω μη
σε δάκρυ μου γυρίσει

Ψάχνω ταυτότητα
σε μία καταιγίδα
σε ένα τρίκυκλο
ανεβάζω την ελπίδα
Πρέπει τον ήλιο
να σηκώσω από τη Δύση
παντού επάνω μου
γραμμένη η λέξη ''κρίση''

Μπες στο μυαλό μου
φίλε και μέτρα
βροχή προβλήματα θα βρεις
και μία πέτρα

Μα έχω αδιάβροχη καρδιά
που μ'ανεβάζει
τα όνειρά μου αλεξίσφαιρα
με γκάζι
Έχω αγάπη έχω μέρες
με λιακάδα
ό,τι μας έμεινε σε μια
ακόμα Ελλάδα

Καλώς σας βρήκα φίλοι
τα ίδια πάλι νέα
ανακωχή ζητάω
έστω για μια μέρα
Ανάποδο φεγγάρι
και απειλές μπροστά μου
μ'ένα τραγούδι
αγοράζω τη χαρά μου

Για όλα τρέχω
με φορτώνω με χρεώνω
και μεγαλώνω…
μεγαλώνω… μεγαλώνω…
Το μόνο αντίδοτο
που αξίζει να προφτάσεις
δώσε στον Έρωτα
μεγάλες διαστάσεις.";1;2012
Αλλιώς τα έβλεπα;Απρογραμμάτιστος;Ζουγανέλης Γιάννης;Παπαϊωάννου Αντώνης;Ζουγανέλης Γιάννης & Ζουγανέλης Αλέξανδρος;ΑΥΛΟΣ;2017-01-01;"Τ' αστέρια έχω γκόμενες και το φεγγάρι σπίτι
Και φτερουγίζω εδώ κι εκεί σαν το μικρό σπουργίτι
Κι όλα μου φαίνονται μικρά στον κόσμο εκεί κάτω
Κι όλα όσα πιστέψαμε έχουνε πιάσει πάτο

Αρνήθηκα το παρελθόν αγάπησα το μέλλον
Και συγχορδίες μυστικές αόρατων αγγέλων
Μαζί με την κιθάρα μου έρχομαι να σας παίξω
Κι απ' όλα τα προγράμματα αφήστε με απ' έξω

Δε λέω λόγια όμορφα, δεν προσπαθώ ν' αρέσω
Μα όσα έχω μέσα μου θα σας τα καταθέσω
Δεν σας τα δίνω δανεικά, θέλω να τα χαρίσω
Εγώ δεν είμαι η Τράπεζα, να τα ζητάω πίσω

Γι' αυτό απρογραμμάτιστος
Αθώος κι ανερμάτιστος
Στα χέρια σας αφήνομαι
Μαζί σας ένα γίνομαι

Ξεχάστε τα προγράμματα
Τα χρονοδιαγράμματα
Και μέχρι τα χαράματα
Θα 'χουνε γίνει θαύματα

Με λένε απρογραμμάτιστο, μα εμένα δε με νοιάζει
Εγώ βλέπω το χάραμα εκεί που σκοτεινιάζει
Βλέπω ανθρώπους γελαστούς μέσα στα καφενεία
Να πίνουνε τα τσίπουρα σα θεία κοινωνία

Και σαν ελεύθερα πουλιά να σκίζουν τον αέρα
Να στίβουνε τα σύννεφα για να τα βγάλουν πέρα
Αυτοί είν' εμένα οι φίλοι μου και οι δικοί μου ανθρώποι
Αυτοί είναι η Ελλάδα μου, αυτοί και η Ευρώπη";1;2017
Πρόβλημα μου;Η αγάπη μας είναι σαν την Ελλάδα;Σταμπουλής Δημήτρης;Παπαϊωάννου Γιάννης;Μπουλουγουράς Γεώργιος;MUSIC BOX INTERNATIONAL ( EL );1990-01-01;"Κάνε κουράγιο κι η βροχή θα σταματήσει
ουράνιο τόξο θα φανεί στον ουρανό.
Όπως και πρώτα η αγάπη μας θ' ανθίσει
γιατί οι ρίζες της δεν έχουν τελειωμό.

Η αγάπη μας είναι σαν την Ελλάδα
που για λίγο καιρό ξαποσταίνει.
Η αγάπη μας είναι σαν την Ελλάδα
κι η Ελλάδα ποτέ δεν πεθαίνει.

Δώσ' μου το χέρι σου και μπρος για την ελπίδα
γιατί η σπίθα της αγάπης μας κρατά.
Αργά η γρήγορα θα φύγει η καταιγίδα
κι από τη σπίθα θα φουντώσει πυρκαγιά.

Η αγάπη μας είναι σαν την Ελλάδα
που για λίγο καιρό ξαποσταίνει.
Η αγάπη μας είναι σαν την Ελλάδα
κι η Ελλάδα ποτέ δεν πεθαίνει.";1;1990
Η μαγκιά πληρώνεται;Στη Λάρισα;Μπάσιος Ηλίας;Παπαϊωάννου Γιάννης;Αντωνίου Μπάμπης;POLYPHONE ( EL );1986-01-01;"Στη Λάρισα, στη Λάρισα
σε είδα και λαχτάρισα,
σε είδα και λαχτάρισα
στη Λάρισα, στη Λάρισα.

Έχω μπει σ' όλα τα τραίνα,
σε καράβια, σ' αεροπλάνα
στην Ελλάδα και στα ξένα.

Έχω δει χιλιάδες γούστα
μα για τη δική σου φούστα
γιναν όλα περασμένα.

Στη Λάρισα, στη Λάρισα
σε είδα και λαχτάρισα,
σε είδα και λαχτάρισα
στη Λάρισα, στη Λάρισα.

Έχω ζήσει στα Παρίσια,
Ελβετίες, Γερμανίες
με κορμάκια κυπαρίσσια.

Μα με τη δική σου φάση
το μυαλό μου έχω χάσει
κι έπαθα ζημιά στα ίσια.

Στη Λάρισα, στη Λάρισα
σε είδα και λαχτάρισα,
σε είδα και λαχτάρισα
στη Λάρισα, στη Λάρισα.
";1;1986
Διάφανος;Στην Αμερική;Παπακωνσταντίνου Αθανάσιος;Παπακωνσταντίνου Αθανάσιος;Μάλαμας Σωκράτης;LYRA ( EL );2006-12-08;"Ο τόπος που μεγάλωσα κρυφό παράπονο έχει,
που η θάλασσα δε δέχτηκε το χώμα του να βρέχει.
Παρόλα αυτά του ωκεανού, ξέρω, το μαύρο κύμα
σε πάει ίσα στο βυθό σε πάει και στην Κίνα.
Α ! και στην Αμερική, μαζί με τη Μαρίκα, το Δούσια τον Κωστή.
Ο τόπος που μεγάλωσα κρυφό παράπονο έχει,
που η θάλασσα δε δέχτηκε το χώμα του να βρέχει.
Παρόλα αυτά του ωκεανού, ξέρω, το μαύρο κύμα
σε πάει ίσα στο βυθό σε πάει και στην Κίνα.
Α ! και στην Αμερική, μαζί με τη Μαρίκα, το Δούσια τον Κωστή.

Τους βλέπω μπρος τα μάτια μου μες το παλιό βαπόρι
σα στρείδια στο κατάστρωμα οι μετανάστες όλοι.
Βουβές γυναίκες, άλαλες που δύναμη αναβλύζουν,
παιδάκια που δε νιώθουνε το δρόμο που βαδίζουν.
Α ! Τα χρόνια τα παλιά, βαριά φορτία φεύγαν για την Αμέρικα.

Του Κατσαρού ανεμίζουνε τα κατσαρά μαλλιά του,
καθώς κοιτάζει αντίθετα προς τη γενέτειρά του.
Του φέρνει ο άνεμος στ'αυτιά τραγούδια αγαπημένα,
τα παιξε στην κιθάρα του, τα δωσε και σε μένα.
Α ! απ' την Αμερική, μαζί με τη Μαρίκα, το Δούσια τον Κωστή.

Και σαν το κουρελόβαρκο αδειάσει στο λιμάνι,
θα τους στοιβάξουν στη σειρά οι ξένοι πολισμάνοι.
Άλλοι θάχουν τον τρόπο τους και θα ευδοκιμήσουν
και άλλοι ως να πεθάνουνε τη δίψα δε θα σβήσουν.
Α ! στην Αμερική Ελλάδα σαν αγριόχορτο φύτρωσες και κει.
Τους βλέπω μες τα μάτια μου μες το παλιό βαπόρι
σα στρείδια στο κατάστρωμα οι μετανάστες όλοι.
";1;2006
Πρόσκληση σε δείπνο κυανίου;Ο Χομαγιούν και ο Βακάρ;Παπακωνσταντίνου Αθανάσιος;Παπακωνσταντίνου Αθανάσιος;Παπακωνσταντίνου Αθανάσιος;ΑΧΟΣ;2014-09-01;"Ο Χομαγιούν και ο Βακάρ, γι' αυτούς θα σου μιλήσω
Σαν άνθρωποι γεννήθηκαν, μα δίχως να το ξέρουν
γινήκαν όχθες ποταμού, πιο κάτω θα εξηγήσω

Τα όνειρα τους τα 'τρωγε της φτώχιας το σκουλήκι
Τα βράδια μάτια ορθάνοιχτα, η χώρα της ανάγκης
απλώνει το βρωμόχερο, ζητά μπροστά το νοίκι

Θέλει μπροστά το νοίκι

Κι έρχεται η στιγμή, που λες, να φύγουν κι ότι γίνει
κι αν όπως τρέμεις το χαμό σε λυπηθεί το κύμα
στη Λαμπεντούζα βρίσκεσαι, η και στη Μυτιλήνη

Ο Χομαγιούν και ο Βακάρ, το βάσανο του δρόμου
Παντού συρματοπλέγματα, μα αλήθεια ποιός πιστεύει
πως με τα φράγματα κρατά την ώσμωση του κόσμου

Ελλάδα, χώρα της ντροπής, και γι' άλλους κρύο σπίτι
ξέχασες που ναι ιερό το βλέμμα του ικέτη
Τώρα πιά οι μισάνθρωποι σε σέρνουν απ' τη μύτη

Σε σέρνουν απ' τη μύτη

Η ξενιτειά είναι βάσανο, κι άμα δε βγάζεις άκρη
για ρώτα τα τραγούδια σου, εκείνα της Καρπάθου
και τα' άλλα τα ηπειρώτικα, που φέρνουνε το δάκρυ

Ο Χομαγιούν και ο Βακάρ έχουν καρδιά μεγάλη
Βλέπουν το τρένο να 'ρχεται και δίχως να το νιώσουν
γίνονται όχθες και κυλά της ανθρωπιάς ποτάμι";1;2014
Χρόνια πολλά Βασίλης;Δε σε γουστάρω;Παπακωνσταντίνου Βασίλης;Παπακωνσταντίνου Βασίλης;Παπακωνσταντίνου Βασίλης;MINOS ( EL );1991-01-01;"Δε σε γουστάρω, δε σε γουστάρω πια,
τα 'φτιαξα μόνος μου,
με τρώει ο πόνος μου,
τον ξύνω μόνος μου.

Δε σε γουστάρω πια,
πάρ' τις ευθύνες σου,
πάρε τις φίλες σου,
χάρυβδες σκύλες σου.

Που τ' ανακάλυψες
πως θα 'μαι εγώ λαμπάδα σου,
να λειώνω σαν Ελλάδα σου;

Δε σε γουστάρω, δε σε γουστάρω πια,
σπαθί η κόψη σου,
βία η όψη σου,
κράτος οι απόψεις σου.

Δε σε γουστάρω πια,
όλο επανάληψη
και εγκατάλειψη
κάνω κατάληψη.

Που τ' ανακάλυψες,
πως θα σαι εσύ ο νόμος μου
και κλέφτης κι αστυνόμος μου;

Δε σε γουστάρω, δε σε γουστάρω πια,
επαναστάτησα,
διόλου δε σάστισα,
τα όπλα τα 'στησα.

Δε σε γουστάρω πια,
θέλω την προίκα μου
κι όλο το ΙΚΑ μου,
εν τούτω νίκα μου.

Που τ' ανακάλυψες
πως θα 'σαι εσύ σημαία μου,
και ΚΥΠ και ΜΑΤ και ΜΕΑ μου;

Ξύπνα Βασίλη... Ωχ ! 
Ξύπνα μωρό μου... πάει τ' όνειρο μου ! 
Ξύπνα ξημέρωσε... πως με ξενέρωσε ! 
Ξύπνα Βασίλη... βοήθεια φίλοι ! 

Δε με γουστάρω, δε με γουστάρω πια,
δεν κάνω τίποτα
κι όσα ονειρεύομαι
μένουν ανείπωτα.

Που τ' ανακάλυψε
πως τ' όνειρο ήτανε χάι
και με ξυπνάει και μου τη σπάει.";1;1991
Το τραγούδι του Αχιλλέα;Λευκή η Ελλάδα;Μαρκόπουλος Γιάννης;Παπακώστας Γιώργος;Χατζημανώλης Μανώλης & Χορωδία;LYRA ( EL );2001-01-01;"Λευκή η Ελλάδα ένωσε τους ωκεανούς.
Με το 'να σου χέρι κρατούσες τον κεραυνό
και τ' άλλο την πόρτα της γης κρατούσες ανοιχτή
να ακουστεί ο λόγος της ζωής σαν να είναι
μια αποκάλυψη.

Λευκή η Ελλάδα ένωσε τους ωκεανούς
στο σάλπισμα του ήλιου, της αυγής,
με δώδεκα εωθινές σκιές, τώρα που η φύση
όρθια επάνω στα λουλούδια την ομορφιά
του θαλλού σκορπάει μαζί με την εωθινή λειτουργία
και τις καμπάνες της ανεμοζάλης γεμάτες πατρίδα
με καθάρια τα στήθια.";1;2001
Το τραγούδι του Αχιλλέα;Χάλκινο τραγούδι ύψωσες;Μαρκόπουλος Γιάννης;Παπακώστας Γιώργος;Χατζημανώλης Μανώλης & Χορωδία;LYRA ( EL );2001-01-01;"Χάλκινο τραγούδι ύψωσες
με τα τόξα σου στα χρώματα της ίριδας.
Τη φωτοβολή της άπλωσες στις γραμμές της Ελλάδας
και με το πρόσωπο του ήλιου του ταξιδευτή
στο δρόμο της μοίρας για το Ίλιο περνάει,
χώρισες το κορμί σου με το μυρωμένο κορμί της γυναίκας
που ανασαίνει ακέραια πλάι στον αρχαίο χρησμό.";1;2001
Θα σε σκέφτομαι;Για 'σένα Ελλάδα;Καπίρης Παναγιώτης;Παπάς Αντώνης;Αυγενικός Χρυσοβαλάντης;MINOS ( EL );2003-11-17;"Είσαι της καρδιάς μου ο αναστεναγμός
Είσαι τα' οξυγόνο στην αναπνοή μου
Την ψυχή μου λειώνεις σαν κρυφός καημός
Μα για 'σένα θα 'δινα και τη ζωή μου

Εσύ με πληγώνεις εσύ με πονάς
Κι εγώ στα τυφλά σ' αγαπάω
Στις φλέβες μου μέσα σαν αίμα κυλάς
Ελλάδα για 'σένα μιλάω
Εσύ με πληγώνεις εσύ με πονάς
Κι εγώ στα τυφλά σ' αγαπάω
Στις φλέβες μου μέσα σαν αίμα κυλάς
Ελλάδα για 'σένα μιλάω

Έρωτας μαζί σου είδα τι θα πει
Θάλασσες κοντά σου ήπια να μεθύσω
Μες στα δυό σου χέρια έχω γεννηθεί
Μες στα δυό σου χέρια θέλω και να ζήσω

Εσύ με πληγώνεις εσύ με πονάς
Κι εγώ στα τυφλά σ' αγαπάω
Στις φλέβες μου μέσα σαν αίμα κυλάς
Ελλάδα για 'σένα μιλάω
Εσύ με πληγώνεις εσύ με πονάς
Κι εγώ στα τυφλά σ' αγαπάω
Στις φλέβες μου μέσα σαν αίμα κυλάς
Ελλάδα για 'σένα μιλάω";1;2003
Σύγκρουση μετωπική;Γιατί εγώ;Τερζής Νίκος;Παπάς Αντώνης;Κοντού Εφη;ALPHA RECORDS ( EL );2001-01-01;"Περασμένες έξι και δεν είσαι πουθενά
πόσο πιά θ' αντέξει η καρδιά μου να πονά.

Κάποια στιγμή που θα 'ρθεις 
δε θέλω λέξη να μου πεις
μονάχα ένα πράγμα 
να μ' απαντήσεις αν μπορείς.

Γιατί εγώ στο δάκρυ εξαιτίας σου να ζω
για 'σένα συνεχώς 'ν' ακροβατώ 
ανάμεσα σε γη και ουρανό.
Γιατί εγώ πληρώνω μια ζωή και για τους δυο
ολόκληρη Ελλάδα κι απορώ
το θύμα σου γιατί να είμαι εγώ.

Περασμένες έξι και ακόμα να φανείς
τι σου έχω φταίξει έτσι με ταλαιπωρείς.

Τα χείλη σου τα καίει
τώρα μιας άλλης το φιλί,
στα δικά μου τρέμει 
ένα αιώνιο γιατί.

Γιατί εγώ στο δάκρυ εξαιτίας σου να ζω
για 'σένα συνεχώς 'ν' ακροβατώ 
ανάμεσα σε γη και ουρανό.
Γιατί εγώ πληρώνω μια ζωή και για τους δυο
ολόκληρη Ελλάδα κι απορώ
το θύμα σου γιατί να είμαι εγώ.
";1;2001
Αντάρτικα;Απόψε θα πλαγιάσουμε σε μαλακό χορτάρι;Παραδοσιακό;Παραδοσιακό;;DELTA;1972-01-01;"Απόψε θα πλαγιάσουμε σε μαλακό χορτάρι
θα δώσει και θα πάρει το γλέντι μας παιδιά.
Η αγάπη θέλει φίλημα κι ο πόλεμος τραγούδια
στην κεφαλή λουλούδια και φλόγα στην καρδιά.
Ας έρθει ο Χάρος για να ιδεί με τι κορμιά θα μπλέξει
ας έρθει κι ας διαλέξει πριν μπει στη μαύρη γη.
Εμπρός μη χάνουμε καιρό κι ας μπούμε αράδα αράδα
Ελλάδα μας , Ελλάδα αστέρι τ' ουρανού.
";1;1972
Σαρακατσάνα;Ποιός καταριέται το Μοριά και την παλιά Ελλάδα;Παραδοσιακό;Παραδοσιακό;Νάκας Κωνσταντίνος;INTERSOUND;1979-01-01;"Ποιός καταριέται το Μοριά και την παλιά Ελλάδα 
'γω στο Μοριά καζάντισα και 'γινα νοικοκύρης 
μα μια βραδιά τα ξόδεψα με μια κυρά σουλτάνα";1;1979
 7'' - 45 στροφών;Εστολίσθη το σπερβέρι λάμπει σαν το περιστέρι;Παραδοσιακό Δωδεκανήσων - Καρπάθου;Παραδοσιακό Δωδεκανήσων - Καρπάθου;Κλέτσα Ευαγγελία;LYRA ( EL );1964-01-01;"Εστολίσθη το σπερβέρι λάμπει σαν το περιστέρι.
εστολίσθη το Αιγαίο που 'ν απ' όλα πιο ωραίο.
εστολίσθη η θάλασσά μας με τα δώδεκα νησιά μας.
εστολίσθη τ'ακρογιάλι με της Ρόδου μας τα κάλλη.
εστολίσθη η Ελλάδα λεβεντιά και ομαρφάδα.
";1;1964
 7'' - 45 στροφών;Εσκοτώθηκα στη μάχη στου πολέμου τη φωτιά;Παραδοσιακό Ηπείρου - Ιωαννίνων - Πωγώνι;Παραδοσιακό Ηπείρου - Ιωαννίνων - Πωγώνι;Πολυφωνικό συγκρότημα Πωγωνίου;RCA VICTOR ( US );1965-06-24;"Εσκοτώθηκα στη μάχη στου πολέμου τη φωτιά.
Κλάψτε τε με φανταράκια και του λόχου τα παιδιά.
Για σεντόνι βάλτε τε μου μια σημαία ελληνική
Να 'χει τ' ουρανού το χρώμα και στη μέση το σταυρό.
Του Τεπελενιού οι πόρτες δεν ανοίγουν με κλειδιά
μωρ' 'τσι ανοίγουν οι τσιολιάδες της Ελλάδος τα παιδιά. 
";1;1965
Καταμεσιός στη θάλασσα;Κάμω να σ' αλησμονήσω μα η καρδιά μου με πονεί;Παραδοσιακό Θράκης - Εβρου - Σαμοθράκης;Παραδοσιακό Θράκης - Εβρου - Σαμοθράκης;Μωραΐτης Αθανάσιος;ΔΗΜΟΣ ΣΑΜΟΘΡΑΚΗΣ;2002-11-22;"Κάμω να σ' αλησμονήσω ,
μα η καρδιά μου με πονεί
Σύ σ' η πρώτη μου αγάπη , 'συ 'σαι η παντοτινή
Κάμω χάζι να σε βλέπω την ημέρα μια φορά
Για να παίρνει ο νους μου αέρα
κι η καρδιά παρηγοριά
Απεφάσισα τα μαύρα να φορώ παντοτινά
και να κλαίω μέρα νύχτα , τη δική σου απονιά
Απεφάσισα να γίνω στην Ελλάδα ταχτικός
Στη φεργάδα καπετάνιος
και στον πόνο μου γιατρός";1;2002
Στη χώρα των αθώων;Στη χώρα των αθώων  Bella Ciao;Παραδοσιακό Ιταλίας : Διασκευή - Πασχαλίδης Μίλτος;Παραδοσιακό Ιταλίας : Διασκευή - Ελευθερίου Μάνος;Πασχαλίδης Μίλτος & Νταλάρας Γιώργος;ΟΓΔΟΟ MUSIC GROUP ( EL );2021-03-01;"Πως είναι ο έρωτας γραμμένος στο πετσί μας
με γράμματα άραγε ή μαύρους αριθμούς,
αίμα θηλάζει κι η Ελλάδα κι η ζωή μας
και οι εχθροί είναι εραστές μ' εκβιασμούς.
Των δράκων γάλα πίνουν μόνο και φαρμάκι
κρίμα δεν γνώρισες τον Κώστα Καρυωτάκη.

Στους ουρανούς θ' αναγνωρίσουνε ποιος ήσουν
ξέρουν αυτοί το φωτοστέφανο χρυσό,
φώτιζες νύχτες των ανθρώπων που θα ζήσουν
κι έχουν και θάνατο και φως μισό μισό.
Όχι τσεκούρι και μπαλτάς μήτε και σφαίρα
μ' ένα σουγιά που κόβει φλέβες στον αέρα.

Με του Μακμπέθ πήγες τις μάγισσες κοντά τους,
να βρεις Πως σμίγει το χρυσάφι με χαλκό,
κυνηγημένος απ' το σώμα σου στους βάλτους
βρήκες ποιος δαίμονας ξορκίζει το κακό.
Δεν παραστάθηκαν Απόστολοι εκ περάτων
κι ας πήραν όψη τα μυστήρια των πραγμάτων.

Τι συζητούσες στον Αγρό του Κεραμέως
στους κήπους του αίματος σαν μια σταλαγματιά,
για στρατηλάτης δεν σου πήγαινε γενναίος
μήτε τσιράκι στων τραμπούκων τη στρατιά.
Ω επαρχία, επαρχία, όλα τα σφάζεις
τα μαχαιρώνεις και λυσσάς κι όλο σπαράζεις.

Ο Γκρέκο εδώ, ο Λόρκα εκεί ποιος θα κερδίσει
τους ξέρεις άραγε να ρίξεις μια ματιά
και τώρα ποιος από τους δυό θα ζωγραφίσει
την ομορφιά σου, σαν την άγρια νυχτιά.
Σ' άγγιξαν άραγε τα φίδια κι οι αράχνες
τι μυστικά σου 'πε το φως μέσα στις πάχνες.

Αθώοι όλοι σε μια χώρα των αθώων
δεν σε γνωρίσαμε να πιούμε έναν καφέ,
δυο τρεις κουβέντες για τους άθλους των ηρώων
γι' αυτούς που ζούνε αγκαλιά μ' έναν χαφιέ.
Λυσσούν να σ' έβρουν τα σκυλιά, λυσσούν οι σκύλοι
κι η ομερτά στις καφετέριες καντήλι.

Πως να σου γράψω, το λοιπόν, βιογραφία
αφού οι λέξεις μου είναι μόνο της βροχής,
ποτέ το μπλε δεν το χωρά δικογραφία
θυμίζει σύλληψη κι εκτέλεση εποχής.
Είμαστε άρρωστοι βαριά από νοσταλγία
μας περιμένουν τα τσιγκέλια στα σφαγεία.";1;2021
